cell,misses,ev_cycles,rate,seed_rate_median,seed_rate_min,seed_rate_max,seeds_with_zero_miss,bootstrap95_lo,bootstrap95_hi,resamples
"(30,20)",8,88479,9.042e-05,0.000e+00,0.000e+00,9.042e-04,15,2.260e-05,1.921e-04,10000
"(15,35)",7,83380,8.395e-05,0.000e+00,0.000e+00,4.797e-04,14,2.399e-05,1.439e-04,10000
