timeline,q,cap,K,period,pattern,victim,max_elapsed,argmax_session,c_actual,within_cap,violation_gt40
model,7,0,31,5,none,,34,0,230,1,0
model,7,0,32,1,none,,35,5,230,1,0
model,7,0,32,2,none,,35,4,230,1,0
model,7,0,32,3,none,,35,0,230,1,0
model,7,0,32,5,none,,34,0,230,1,0
model,7,0,33,1,none,,35,5,230,1,0
model,7,0,33,2,none,,35,4,230,1,0
model,7,0,33,3,none,,35,0,230,1,0
model,7,0,33,5,none,,34,0,230,1,0
model,7,0,34,1,none,,35,5,230,1,0
model,7,0,34,2,none,,35,4,230,1,0
model,7,0,34,3,none,,35,0,230,1,0
model,7,0,34,5,none,,34,0,230,1,0
model,7,0,35,1,none,,36,34,230,1,0
model,7,0,35,2,none,,35,4,230,1,0
model,7,0,35,3,none,,35,0,230,1,0
model,7,0,35,5,none,,34,0,230,1,0
model,7,0,36,1,none,,35,5,230,1,0
model,7,0,36,2,none,,35,4,230,1,0
model,7,0,36,3,none,,35,0,230,1,0
model,7,0,36,5,none,,34,0,230,1,0
model,7,0,37,1,none,,35,5,230,1,0
model,7,0,37,2,none,,35,4,230,1,0
model,7,0,37,3,none,,35,0,230,1,0
model,7,0,37,5,none,,34,0,230,1,0
model,7,0,38,1,none,,36,37,230,1,0
model,7,0,38,2,none,,35,4,230,1,0
model,7,0,38,3,none,,35,0,230,1,0
model,7,0,38,5,none,,34,0,230,1,0
model,19,2,2,1,all-max,,38,0,690,1,0
model,19,2,2,1,victim-max,0,37,0,690,1,0
model,19,2,2,1,others-max,0,37,1,690,1,0
model,19,2,2,1,victim-max,1,37,1,690,1,0
model,19,2,2,1,others-max,1,37,0,690,1,0
model,19,2,2,1,front-max,,24,0,436,1,0
model,19,2,2,1,back-max,,26,0,460,1,0
model,19,2,2,1,tail-max,,21,1,304,1,0
model,19,2,2,2,all-max,,37,0,690,1,0
model,19,2,2,2,victim-max,0,37,0,690,1,0
model,19,2,2,2,others-max,0,37,1,690,1,0
model,19,2,2,2,victim-max,1,37,1,690,1,0
model,19,2,2,2,others-max,1,37,0,690,1,0
model,19,2,2,2,front-max,,24,0,436,1,0
model,19,2,2,2,back-max,,25,0,460,1,0
model,19,2,2,2,tail-max,,20,1,304,1,0
model,19,2,2,3,all-max,,37,0,690,1,0
model,19,2,2,3,victim-max,0,37,0,690,1,0
model,19,2,2,3,others-max,0,37,1,690,1,0
model,19,2,2,3,victim-max,1,37,1,690,1,0
model,19,2,2,3,others-max,1,37,0,690,1,0
model,19,2,2,3,front-max,,24,0,436,1,0
model,19,2,2,3,back-max,,26,0,460,1,0
model,19,2,2,3,tail-max,,21,1,304,1,0
model,19,2,2,5,all-max,,37,0,690,1,0
model,19,2,2,5,victim-max,0,37,0,690,1,0
model,19,2,2,5,others-max,0,37,1,690,1,0
model,19,2,2,5,victim-max,1,37,1,690,1,0
model,19,2,2,5,others-max,1,37,0,690,1,0
model,19,2,2,5,front-max,,24,0,436,1,0
model,19,2,2,5,back-max,,25,0,460,1,0
model,19,2,2,5,tail-max,,20,1,304,1,0
model,19,2,3,1,all-max,,38,0,690,1,0
model,19,2,3,1,victim-max,0,37,0,690,1,0
model,19,2,3,1,others-max,0,38,1,690,1,0
model,19,2,3,1,victim-max,1,37,1,690,1,0
model,19,2,3,1,others-max,1,37,0,690,1,0
model,19,2,3,1,victim-max,2,37,2,690,1,0
model,19,2,3,1,others-max,2,38,0,690,1,0
model,19,2,3,1,front-max,,24,0,436,1,0
model,19,2,3,1,back-max,,26,1,460,1,0
model,19,2,3,1,tail-max,,21,2,304,1,0
model,19,2,3,2,all-max,,38,0,690,1,0
model,19,2,3,2,victim-max,0,37,0,690,1,0
model,19,2,3,2,others-max,0,37,1,690,1,0
model,19,2,3,2,victim-max,1,37,1,690,1,0
model,19,2,3,2,others-max,1,37,0,690,1,0
model,19,2,3,2,victim-max,2,37,2,690,1,0
model,19,2,3,2,others-max,2,37,0,690,1,0
model,19,2,3,2,front-max,,24,0,436,1,0
model,19,2,3,2,back-max,,25,0,460,1,0
model,19,2,3,2,tail-max,,20,2,304,1,0
model,19,2,3,3,all-max,,38,0,690,1,0
model,19,2,3,3,victim-max,0,37,0,690,1,0
model,19,2,3,3,others-max,0,37,1,690,1,0
model,19,2,3,3,victim-max,1,37,1,690,1,0
model,19,2,3,3,others-max,1,38,0,690,1,0
model,19,2,3,3,victim-max,2,37,2,690,1,0
model,19,2,3,3,others-max,2,37,0,690,1,0
