== staggered 1/cycle | q=7 cap=0 K=15 timeline=model | within-cap demand of session 14: 241 slots | max elapsed 42 cycles (session 14, admitted cycle 14, completed cycle 55) ==
cycle K_active quota allowance consumed debt_in served(argmax)
   31        1    19        12       12       7    558
   32        1    19        19       36       0    594
   33        1    19         2       18      17    612
   34        1    19         3       12      16    624
   35        1    19        10       12       9    636
   36        1    19        17       24       2    660
   37        1    19        12       12       7    672
   38        1    19        19       25       0    697
   39        1    19        13       13       6    710
   40        1    19        19       13       0    723

