N,K,finish_measured,finish_formula,finish_cycle_builder,delta_ns3,delta_layer1,match
34,0,1245,1245,1245,0,0,1
34,1,1273,1273,1273,28,28,1
34,4,1294,1294,1294,49,49,1
34,8,1322,1322,1322,77,77,1
34,16,1378,1378,1378,133,133,1
35,0,1281,1281,1281,0,0,1
35,1,1309,1309,1309,28,28,1
35,4,1330,1330,1330,49,49,1
35,8,1358,1358,1358,77,77,1
35,16,1414,1414,1414,133,133,1
36,0,1317,1317,1317,0,0,1
36,1,1345,1345,1345,28,28,1
36,4,1366,1366,1366,49,49,1
36,8,1394,1394,1394,77,77,1
36,16,1450,1450,1450,133,133,1
37,0,1353,1353,1353,0,0,1
37,1,1381,1381,1381,28,28,1
37,4,1402,1402,1402,49,49,1
37,8,1430,1430,1430,77,77,1
37,16,1486,1486,1486,133,133,1
38,0,1389,1389,1389,0,0,1
38,1,1417,1417,1417,28,28,1
38,4,1438,1438,1438,49,49,1
38,8,1466,1466,1466,77,77,1
38,16,1522,1522,1522,133,133,1
39,0,1425,1425,1425,0,0,1
39,1,1453,1453,1453,28,28,1
39,4,1474,1474,1474,49,49,1
39,8,1502,1502,1502,77,77,1
39,16,1558,1558,1558,133,133,1
40,0,1461,1461,1461,0,0,1
40,1,1489,1489,1489,28,28,1
40,4,1510,1510,1510,49,49,1
40,8,1538,1538,1538,77,77,1
40,16,1594,1594,1594,133,133,1
